Name,Location,Description,Accelerator,Batch,Status
Tandem,"SanFrancisco,CA,USA",Tandem is a virtual office for remote and distributed teams.,Y Combinator,S19,
Nonu,"Hyderabad,Telangana,India",We deliver hair loss medicines for Indian men on a subscription basis.,Y Combinator,S19,
TaxProper,"Chicago,IL,USA",TaxProper helps enterprise estate owners manage their property taxes.,Y Combinator,S19,
Localyze,"Hamburg,Germany",International employee relocation as a service,Y Combinator,S19,
UpEquity,"Austin,TX,USA",UpEquity underwrites mortgages automatically.  ,Y Combinator,S19,
Revel,"SanFrancisco,CA,USA",The modern community for women over 40,Y Combinator,S19,
Lumineye,"Boise,ID,USA",X-ray Vision for First Responders ,Y Combinator,S19,
YummyFuture,"Champaign,IL,USA",We build robotic coffee shops.,Y Combinator,S19,
Kitekraft,"Munich,Germany",Building flying wind turbines.,Y Combinator,S19,
MindsetHealth,"MelbourneVIC,Australia",Hypnosis-based digital therapeutics for chronic conditions like IBS.,Y Combinator,S19,
LunaSec,"Seattle,WA,USA",Open Source data security platform to manage your most sensitive data,Y Combinator,S19,
GEn1ELifesciences,"PaloAlto,CA,USA",AI platform accelerating therapies for rare & inflammatory diseases.,Y Combinator,S19,
Dashblock,"Paris,France",Turn any website into an API,Y Combinator,S19,
Prolific,"London,UK",Building the most powerful platform for research on the internet.,Y Combinator,S19,
AudioFocus,"Oakland,CA,USA","Hearing aids that work in noisy places, like restaurants, using ML.",Y Combinator,S19,
Lantern,"SanFrancisco,CA,USA",User behavior monitoring for modern product teams,Y Combinator,S19,
Soteris,"SanFrancisco,CA,USA",Building a first-of-its-kind data platform for commercial insurance.,Y Combinator,S19,
Obie,"Chicago,IL,USA",Insurance and Risk Management for Landlords,Y Combinator,S19,
Sable,"NewYork,NY,USA","Mobile bank for credit-worthy, new-to-America internationals offering…",Y Combinator,S19,
Narrator,"NewYork,NY,USA",Answer data requests in minutes with only one table,Y Combinator,S19,
LucidDroneTech,"Charlotte,NC,USA",We build autonomous drones for labor intensive jobs.,Y Combinator,S19,
Actiondesk,"SanFrancisco,CA,USA",Access all your live data in one place,Y Combinator,S19,
EverLoved,"SanFrancisco,CA,USA",Helping families plan and pay for funerals.,Y Combinator,S19,
IntersectLabs,"SanDiego,CA,USA",Collaborative data noteboook for business teams,Y Combinator,S19,
PairTeam,"SanFrancisco,CA,USA",Tech-enabled remote clinical care teams for healthcare organizations.,Y Combinator,S19,
HypeandVice,"LosAngeles,CA,USA",Fashionable college branded apparel for women.,Y Combinator,S19,
Zeal,"SanFrancisco,CA,USA",Embed payroll into any product,Y Combinator,S19,
Jupiter,"SanFrancisco,CA,USA",Meal plan & grocery shop from your favorite food creators,Y Combinator,S19,
ShortStory,"SanFrancisco,CA,USA",Modern ecommerce for petite women,Y Combinator,S19,
JunoCollegeofTechnology,"Toronto,ON,Canada",Juno is the university of the future.,Y Combinator,S19,
ShiftHealth,"Lehi,UT,USA",Turn manual healthcare process into automated workflows,Y Combinator,S19,
WellPrincipled,"St.Louis,MO,USA",An A.I. Demand Forecast that Knows which Promos & Ads Drive Profits,Y Combinator,S19,
Kraftful,"SanFrancisco,CA,USA",Making everything usable by everyone. ,Y Combinator,S19,
Violet,"NewYork,NY,USA",The operating system for your life.,Y Combinator,S19,
Pillar,"SanFrancisco,CA,USA",Where creators earn revenue promoting the products they love.,Y Combinator,S19,
BuildStream,"NewYork,NY,USA",The marketplace for supply chain audits and inspections,Y Combinator,S19,
Gamebytes,"NewYork,NY,USA",Chat game universe,Y Combinator,S19,
MethodFinancial,"Austin,TX,USA",Embedded debt repayment for developers,Y Combinator,S19,
Palifer,"SanJose,CA,USA",Helping enable predictive maintenance for trains,Y Combinator,S19,
MockVisual,"SanFrancisco,CA,USA",Visual communication platform for the web,Y Combinator,S19,
HeroicStory,"LosAngeles,CA,USA",Decentralized Disney,Y Combinator,S19,
Courier,"SanFrancisco,CA,USA",The fastest way for developers to build notifications for their app.,Y Combinator,S19,
Lofty,"Miami,FL,USA",Invest in tokenized real estate for only ,Y Combinator,50andsellanytime.,
AperoHealth,"SanFrancisco,CA,USA",Modern medical billing,Y Combinator,S19,
Shiru,"Emeryville,CA,USA",Shiru leverages ML to create proteins to feed the world sustainably. ,Y Combinator,S19,
Cuboh,"Victoria,BC,Canada",We help restaurants manage their online orders.,Y Combinator,S19,
MoFE,"NewYork,NY,USA",Next generation Disney.,Y Combinator,S19,
Dex,"SanFrancisco,CA,USA",Dex is a personal CRM that reminds you to keep in touch with the…,Y Combinator,S19,
PopSQL,"SanFrancisco,CA,USA",SQL editor for teams,Y Combinator,S19,
Mighty,"SanFrancisco,CA,USA",Mighty makes Google Chrome faster & use 10x less memory.,Y Combinator,S19,
SafelyFinance,"MountainView,CA,USA",We turn large up-front rental costs into approachable multi-month…,Y Combinator,S19,
Prenda,"Mesa,AZ,USA",K-8 microschools in your neighborhood,Y Combinator,S19,
Path,"NewYork,NY,USA",Financial advisors for Gen-Z,Y Combinator,S19,
TogetherSoftware,"Toronto,ON,Canada",Learn from the experts at your company. ,Y Combinator,S19,
Beacons,"SanFrancisco,CA,USA",The best mobile website builder for content creators,Y Combinator,S19,
Zippi,"SãoPaulo,StateofSãoPaulo,Brazil",Payment Platform for LatAm Microentrepeneurs ,Y Combinator,S19,
Wren,"SanFrancisco,CA,USA",Wren is a monthly subscription to offset your carbon footprint.,Y Combinator,S19,
Swadesh,"NewYork,NY,USA",World's first neobank for Indian Expats,Y Combinator,S19,
RenttheBackyard,"Oakland,CA,USA",Helping homeowners make money from their backyards by building housing,Y Combinator,S19,
MyPetrolPump,"Bengaluru,Karnataka,India",On demand fuel delivery service in India,Y Combinator,S19,
DataMechanics,"Paris,France",The Cloud-Native Spark Platform for Data Engineers,Y Combinator,S19,
Bouncer,"Oakland,CA,USA",SDK for scanning and verifying credit cards and photo IDs in mobile…,Y Combinator,S19,
Lightwell,"NewYork,NY,USA",NA,Y Combinator,S19,
FeaturePeek,"SanFrancisco,CA,USA",Supercharged deployment previews for all.,Y Combinator,S19,
VoyageBiomedical,"Berkeley,CA,USA",Using cooling to end brain damage during stroke.,Y Combinator,S19,
Bayes,"SanFrancisco,CA,USA",NA,Y Combinator,S19,
Covela,"MexicoCity,CDMX,Mexico",The digital insurance broker for SMEs in LATAM,Y Combinator,S19,
Valiu,"Bogotá,Bogota,Colombia",USD mobile banking for LatAm's businesses and people,Y Combinator,S19,
Mipos.dev,"MexicoCity,CDMX,Mexico",Api that let you connect all the restaurant tech services in Latam ,Y Combinator,S19,
Alana,"MexicoCity,CDMX,Mexico","Staff management software for retail, manufacturing and hospitality",Y Combinator,S19,
BusinessScore,Unkown,Connecting online businesses with funding options,Y Combinator,S19,
Lokal(merged),"Bengaluru,Karnataka,India","Local news, information and classifieds for India's small town users",Y Combinator,S19,
Zergo,"Waterloo,ON,Canada",We make a urine test that helps women get pregnant.,Y Combinator,S19,
EncephealTherapeutics,"Winston-Salem,NC,USA","EncepHeal develops medications to treat substance abuse, starting…",Y Combinator,S19,
Preclusio,"RedwoodCity,CA,USA",We help companies comply with privacy laws like GDPR. Many of these…,Y Combinator,S19,
Prompt,Unkown,Helping busy professionals understand and maintain their relationships,Y Combinator,S19,
SouffleClub,"SanFrancisco,CA,USA",Souffle Club:10x better LinkedIn alternative with profiles >> resumes,Y Combinator,S19,
ReverCare,"NewYork,NY,USA",Concierge for elder care,Y Combinator,S19,
Vizy,"SanFrancisco,CA,USA",An all-in-one virtual office for remote teams,Y Combinator,S19,
Hutsy,"NewYork,NY,USA",Home Buying on Autopilot,Y Combinator,S19,
FittoForm,"SanFrancisco,CA,USA",Fit to Form is a site where women shop for dresses based on their…,Y Combinator,S19,
Deel,"SanFrancisco,CA,USA","Payroll, HR, compliance, perks, and benefits for remote teams",Y Combinator,W19,
Prometheus,"SantaCruz,CA,USA",We use solar and wind power to make zero net carbon electrofuels,Y Combinator,W19,
Kalshi,"NewYork,NY,USA",1st federally regulated exchange where people can trade on events,Y Combinator,W19,
FrubanaInc,"SãoPaulo,StateofSãoPaulo,Brazil",The everything store for restaurants in LATAM.,Y Combinator,W19,
Shef,"SanFrancisco,CA,USA",Marketplace for homemade food,Y Combinator,W19,
Kovi,"SãoPaulo,StateofSãoPaulo,Brazil","Making car ownership more inclusive, flexible and simple.",Y Combinator,W19,
CareerKarma,"SanFrancisco,CA,USA",Helps job training programs find qualified applicants.,Y Combinator,W19,
Postscript,"Phoenix,AZ,USA",The SMS marketing platform for e-commerce companies,Y Combinator,W19,
Shipper,"Jakarta,Indonesia",Southeast Asia’s e-commerce logistics and enablement platform,Y Combinator,W19,
Nowports,Unkown,Reinventing the international supply-chain in LATAM,Y Combinator,W19,
Point,"SanFrancisco,CA,USA",Brings rewards and benefits to the debit card.,Y Combinator,W19,
Convictional,"Toronto,ON,Canada",Enabling every company to automate B2B trade,Y Combinator,W19,
Alpaca,"SanMateo,CA,USA",API-first stock and crypto brokerage platform,Y Combinator,W19,
Convex,"SanFrancisco,CA,USA",Software for the commercial services industry.  ,Y Combinator,W19,
54Gene,"Lagos,Nigeria",Precision medicine for Africans and the global population,Y Combinator,W19,
ZeroDown,"SanFrancisco,CA,USA",Find beautiful homes,Y Combinator,W19,
JuziBot,"Beijing,China","Intercom for WeChat, help companies to acquire, engage, retain…",Y Combinator,W19,
Searchlight,"SanFrancisco,CA,USA",Talent Intelligence improving quality of hire,Y Combinator,W19,
Schoolable,"Lagos,Nigeria",Tuition collection service for K-12 private schools in Africa,Y Combinator,W19,
BuyMeaCoffee,"SanFrancisco,CA,USA",Helping creators monetize,Y Combinator,W19,
Catch,"NewYork,NY,USA",Benefits for independent workers.,Y Combinator,W19,
ModooTechnology,"Beijing,China",Modoo develops safe and non-invasive tech to help mother-to-be to…,Y Combinator,W19,
EclipseFoods,"Oakland,CA,USA",Beyond Meat of dairy products. Our plant processing technology…,Y Combinator,W19,
Memfault,"SanFrancisco,CA,USA",The first observability platform for hardware teams.,Y Combinator,W19,
YourChoiceTherapeutics,"Berkeley,CA,USA",YourChoice therapeutics is revolutionizing the contraceptive market…,Y Combinator,W19,
TaaliInc,"NewYork,NY,USA",Taali is creating popcorn 2.0 from popped water lily seeds,Y Combinator,W19,
Accept.inc(formerlyBoardRE),"Denver,CO,USA",BoardRE is a new type of mortgage company that upgrades any offer…,Y Combinator,W19,
NaturAllClub,"Philadelphia,PA,USA",Frozen beauty products.,Y Combinator,W19,
rctAI,"LosAngeles,CA,USA",Providing AI solutions to the game industry,Y Combinator,W19,
Numero,"SanFrancisco,CA,USA",Modern financial software for political campaigns and nonprofits.,Y Combinator,W19,
1910Genetics,"Cambridge,MA,USA",Make undruggable targets a thing of the past,Y Combinator,W19,
Truora,"Cali,ValledelCauca,Colombia",Reliable background checks & fraud prevention tools for Latin America.,Y Combinator,W19,
Withfriends,"NewYork,NY,USA",Withfriends makes it easy to offer memberships for your small business,Y Combinator,W19,
Cosmic,"SanFrancisco,CA,USA",Cosmic is a headless CMS and API toolkit,Y Combinator,W19,
FIRST,"Philadelphia,PA,USA",The best way for any business to offer delivery.  ,Y Combinator,W19,
VertoFX,"London,UK",Cross-Border Payments and FX Simplified,Y Combinator,W19,
Tailor-ED,"TelAviv-Yafo,Israel","A K-12 instructional platform, that helps teachers find the most…",Y Combinator,W19,
Latchel,"Seattle,WA,USA",24/7 emergency maintenance department for property managers and…,Y Combinator,W19,
Inito,"Bengaluru,Karnataka,India",Fertility Clinic on your phone.,Y Combinator,W19,
Globe,Seychelles,coinbase for derivatives,Y Combinator,W19,
VotingWorks,"California,USA",Non-profit building secure and affordable voting machines for US…,Y Combinator,W19,
MarsAuto,"Seoul,SouthKorea",Autonomous trucks for warehouse-to-warehouse shipping,Y Combinator,W19,
Dockup,"MountainView,CA,USA",On demand ephemeral environments to run manual and automated tests.,Y Combinator,W19,
Rune,"SanFrancisco,CA,USA",Rune connects mobile gamers on voice chat and finds them teammates,Y Combinator,W19,
Cuanto,"PanamaCity,Panama",Building the operating system for Latin America's internet creators,Y Combinator,W19,
PulseActiveStationsNetwork,India,We are a connected network of smart health kiosks in India.,Y Combinator,W19,
Cityfurnish,"NewDelhi,Delhi,India",Cityfurnish - Rental Subscriptions for Furniture and Appliance in…,Y Combinator,W19,
Glide,"SanFrancisco,CA,USA","Build an app from a Google Sheet in five minutes, for free.",Y Combinator,W19,
Lezzoo,"Erbil,Iraq",Lezzoo is an on-demand delivery Superapp for Iraq.  ,Y Combinator,W19,
EmiLabs,"BuenosAires,Argentina","Helping great teams hire better frontline workers, faster.",Y Combinator,W19,
Bentocart,"SanFrancisco,CA,USA",Automate Meal Planning for WFH Workers,Y Combinator,W19,
Wallets,"Lagos,Nigeria",Wallets is a modern digital banking app for Africans.,Y Combinator,W19,
CredPal,"Lagos,Nigeria",CredPal is a buy now pay later company in Africa that allows…,Y Combinator,W19,
MyScoot,"NewDelhi,Delhi,India",Shopify for knowledge professionals,Y Combinator,W19,
Keynua,"Lima,Peru",E-signatures with identity verification for Latin America,Y Combinator,W19,
Edyst,"Hyderabad,Telangana,India",Edyst is a peer-to-peer online learning platform where students learn…,Y Combinator,W19,
AccioJob,"Gurugram,Haryana,India",Job-Guaranteed Coding bootcamp for India. Pay us after you are hired.,Y Combinator,W19,
ShiokMeats,Singapore,"Shiok Meats is a cell-based clean shrimp company, the first of its…",Y Combinator,W19,
SeawiseCapital,"NewDelhi,Delhi,India",Trade finance company for Indian exporters,Y Combinator,W19,
NALA,"DaresSalaam,Tanzania","Bank for Africans globally, starting with sending money home. ",Y Combinator,W19,
Mudrex,"MountainView,CA,USA",High yield investments for everyone,Y Combinator,W19,
Skill-lync,"Chennai,TamilNadu,India",Online engineering college for India. Learn technical skills & get…,Y Combinator,W19,
EndpointHealth,"PaloAlto,CA,USA",Precision-first therapies,Y Combinator,W19,
Capture,"NewYork,NY,USA","All your notes, tasks, and files in one super-fast workspace.",Y Combinator,W19,
AmpUp,"Cupertino,CA,USA",Reservable electric vehicle charging,Y Combinator,W19,
XGenomes,"Cambridge,MA,USA",XGenomes is building the sequencing technology of the future. ,Y Combinator,W19,
SaratogaEnergy,"Berkeley,CA,USA",We sell better carbon nanotubes at one-twentieth the price. Carbon…,Y Combinator,W19,
Upsolve,"NewYork,NY,USA",TurboTax for Bankruptcy (nonprofit),Y Combinator,W19,
OurWorldinData,"Oxford,UK",Research and data to make progress against the world’s largest…,Y Combinator,W19,
Dagger,"SanFrancisco,CA,USA","Code deployment that just works, by the creators of Docker",Y Combinator,W19,
TraverseTechnologies,Singapore,AI driven professional engineering firm,Y Combinator,W19,
SuperbAI,"SanMateo,CA,USA",Superb AI is a training data management platform,Y Combinator,W19,
HeartAerospace,"Gothenburg,Sweden",Heart makes electric airplanes with an all-electric range of 250 miles,Y Combinator,W19,
Reelables,Unkown,NA,Y Combinator,W19,
"VoltaLabs,Inc.","Cambridge,MA,USA",Unlocking the utility of genomics for the world,Y Combinator,W19,
JetPackAviation,"LosAngeles,CA,USA",Flying motorcycles,Y Combinator,W19,
BoundaryLayerTechnologies,"Alameda,CA,USA",High speed container ships using hydrofoils. ,Y Combinator,W19,
Wanderlog,"SanFrancisco,CA,USA","Travel planner for researching, organizing, and mapping your trip",Y Combinator,W19,
AuraVision,"London,UK",Visitor analytics for physical retail stores using existing security…,Y Combinator,W19,
DailyDoctor,"SanJose,CA,USA","Daily telehealth care for people with COPD, CHF, hypertension, and…",Y Combinator,W19,
InstapathInc.,"Houston,TX,USA",We built the world's first automated digital pathology lab.,Y Combinator,W19,
Rebank,"London,UK",The single source of truth for startup finances,Y Combinator,W19,
Fuse,"NewYork,NY,USA",Making fintech mutliplayer 🎮. ,Y Combinator,W19,
CareerTu,"NewYork,NY,USA",Online school for Chinese to learn in-demand digital skills ,Y Combinator,W19,
Ravn,"SanFrancisco,CA,USA",Ravn is building a heads-up display for soldiers.,Y Combinator,W19,
Doppler,"SanFrancisco,CA,USA",The first Universal Secrets Platform.,Y Combinator,W19,
PNOĒ,"Athens,Greece",PNOĒ is making cardio-metabolic analysis accessible to all,Y Combinator,W19,
GordianSoftware,"Bellevue,WA,USA",APIs for selling airline add-ons such as seat selection and baggage. ,Y Combinator,W19,
Pyxai,"Boston,MA,USA",Identifying top talent by focusing on data not found on resumes,Y Combinator,W19,
Qwest,"LosAngeles,CA,USA",Marketplace for social clubs,Y Combinator,W19,
Landed,"SanFrancisco,CA,USA",Marketplace for businesses to hire fast with video.,Y Combinator,W19,
IntactTherapeutics,"LosAltos,CA,USA",Smart gels for local drug delivery to the gut,Y Combinator,W19,
Mobot,"NewYork,NY,USA",Mobot is a mobile app QA service using mechanical robots.,Y Combinator,W19,
AuroraQ,"Waterloo,ON,Canada","Building the first practical, integrated quantum computer.",Y Combinator,W19,
Excepgen,"SanFrancisco,CA,USA","Excepgen produces difficult proteins at scale, quickly. ",Y Combinator,W19,
Handle.com,"SanFrancisco,CA,USA",Simplifying construction financial management.,Y Combinator,W19,
BunkerhillHealth,"PaloAlto,CA,USA",Diagnostic AI algorithms from leading academic medical centers,Y Combinator,W19,
Maitian.ai,Singapore,We make ,Y Combinator,"1,000AmazonGostores.",
Termius,Unkown,Termius is an SSH client with team collaboration features,Y Combinator,W19,
Supernova,"Prague,Czechia",Design system platform joins developers and designers together,Y Combinator,W19,
ProbablyGenetic,"SanFrancisco,CA,USA",Helping biotech find genetic disease patients by testing them for free,Y Combinator,W19,
Ashby,"SanFrancisco,CA,USA",Intelligent and powerful all-in-one recruiting software,Y Combinator,W19,
Askdata,"SanFrancisco,CA,USA",Frictionless Data,Y Combinator,W19,
Okteto,"SanFrancisco,CA,USA",Deploy realistic development environments with one click,Y Combinator,W19,
Bensen,"Boston,MA,USA",Online and phone ordering for restaurant takeout and delivery,Y Combinator,W19,
Docbot,"LosAngeles,CA,USA",NA,Y Combinator,W19,
AtomicAlchemy,"IdahoFalls,ID,USA",Producing high-value isotopes for the world,Y Combinator,W19,
ResistanceBio,"Overland,MO,USA",We solve drug resistance for cancer and antibiotics,Y Combinator,W19,
Switchboard,"Vancouver,BC,Canada",Truck Freight Marketplace,Y Combinator,W19,
AIInsurance,"SanFrancisco,CA,USA",AI Insurance is the platform that runs insurance companies,Y Combinator,W19,
Demodesk,"Munich,Germany",Intelligent online meeting tool for inside sales & customer success,Y Combinator,W19,
Avo,"SanFrancisco,CA,USA",The easiest way to manage your analytics releases,Y Combinator,W19,
Forage,"SanFrancisco,CA,USA","Online job simulations for large companies to train, and then hire,…",Y Combinator,W19,
Nabis,"SanFrancisco,CA,USA",Nabis is the largest licensed cannabis whole platform.,Y Combinator,W19,
SaplingIntelligence,"SanFrancisco,CA,USA",AI messaging assistant for customer-facing teams.,Y Combinator,W19,
WeatherCheck,"201EJeffersonSt,Louisville,KY40202,USA",WeatherCheck monitors properties for hail damage so that insurance…,Y Combinator,W19,
Basilica,"SanFrancisco,CA,USA",Basilica is an API that embeds high-dimensional data like images and…,Y Combinator,W19,
CommunityPhoneCompany,"Boston,MA,USA",Modern landline and voice services,Y Combinator,W19,
ThriveAgric,"Abuja,Nigeria","Thrive Agric helps Farmers in Africa access finance, insight and FMCGS",Y Combinator,W19,
COUTURME,"SanMateo,CA,USA","We custom design and produce women's formal dresses, starting with…",Y Combinator,W19,
Coursedog,"NewYork,NY,USA",Higher Ed's Best Friend - integrated academic operations software.,Y Combinator,W19,
GoLinks,"SanJose,CA,USA","Internal, human-readable short links for teams.",Y Combinator,W19,
Middesk,"SanFrancisco,CA,USA",We help B2B financial service companies verify business customers,Y Combinator,W19,
WindwalkGames,"SanFrancisco,CA,USA","Our game Enemy on Board is an online, multiplayer game that combines…",Y Combinator,W19,
LEAHLabs,"Rochester,MN,USA",Curing Cancer in Dogs,Y Combinator,W19,
Avalanche,"SanFrancisco,CA,USA",Referral program SDK for startups,Y Combinator,W19,
MedCrypt,"SanDiego,CA,USA",MedCrypt gives medical device vendors cybersecurity features in a few…,Y Combinator,W19,
BrainKey,"SanFrancisco,CA,USA",Brain Longevity Platform,Y Combinator,W19,
Hatch,"Richmond,VA,USA",SMS for SMBs,Y Combinator,W19,
FLOWERCO.,"LosAngeles,CA,USA",FLOWER CO. sells weed on the internet.,Y Combinator,W19,
PortalEntryways,"Provo,UT,USA",Portal Entryways upgrades disabled-accessible doors so they can be…,Y Combinator,W19,
Nebullam,"Ames,IA,USA",Indoor farms that sell direct-to-consumer,Y Combinator,W19,
Ascen,"Boston,MA,USA",The easiest way to hire & manage external talent,Y Combinator,W19,
Windsor,"SanFrancisco,CA,USA",AI Powered Personalized Videos,Y Combinator,W19,
PreFlight,"Chicago,IL,USA",No-code Web Apps testing for everyone,Y Combinator,W19,
Sidr.io,"SanFrancisco,CA,USA",No code extension builder.,Y Combinator,W19,
SciTok,"SanFrancisco,CA,USA",Platform for scientists to share their research via videos,Y Combinator,W19,
DynetiTechnologies,"SanFrancisco,CA,USA",Reduce payment fraud,Y Combinator,W19,
SortingRobotics,"VanNuys,LosAngeles,CA,USA",We create automation technology for the cannabis industry.,Y Combinator,W19,
Sunsama,"Oakland,CA,USA",Daily Planner for Busy Professionals,Y Combinator,W19,
SpireLaw,"Orlando,FL,USA",Tech enabled business and employment litigation law firm,Y Combinator,W19,
DevFlight,"Somerville,MA,USA",Managed equipment data pipelines for manufacturers,Y Combinator,W19,
SpaceRyde,"Toronto,ON,Canada",Cheap taxi to space for small satellites!,Y Combinator,W19,
CentaurLabs,"Boston,MA,USA",Labeling medical images at scale,Y Combinator,W19,
Ultralight,"SanFrancisco,CA,USA",Next-Generation HTML Renderer for Apps and Games,Y Combinator,W19,
Bottomless,"Seattle,WA,USA",Building the first sensor enabled marketplace for repeat purchases,Y Combinator,W19,
Kopa,"SanFrancisco,CA,USA",Find furnished rentals and compatible housemates for 1-12 month stays ,Y Combinator,W19,
KeeperTax,"SanFrancisco,CA,USA",Tax software for gig workers,Y Combinator,W19,
InterPrime,"MenloPark,CA,USA",Safe & Secure Cash Management for Businesses,Y Combinator,W19,
Insight,"SanFrancisco,CA,USA",NA,Y Combinator,W19,
Pachama,"SanFrancisco,CA,USA",Marketplace for Forest Carbon Offsetting,Y Combinator,W19,
AllSomeFulfillment,"Shenzhen,Guangdong,China",Open shopping outlets rather than fulfillment warehouse,Y Combinator,W19,
Positive,"LosAngeles,CA,USA",Next generation grab & go food brand,Y Combinator,W19,
TheJuggernaut,"NewYork,NY,USA",The media company and community for the South Asia-curious,Y Combinator,W19,
Geosite,"PaloAlto,CA,USA",Geosite is an enterprise SaaS platform for spatial data.,Y Combinator,W19,
BrickHealth,"Miami,FL,USA",Building infrastructure to expand scope and quality of virtual care,Y Combinator,W19,
ZeroStorefront,"SanMateo,CA,USA",1 Data platform for restaurants,Y Combinator,W19,
Canopy(wasEncarte),"SanFrancisco,CA,USA",Encarte is building 1-click checkout for all online stores.,Y Combinator,W19,
Parker,"SanFrancisco,CA,USA",Parker is a digital bank.,Y Combinator,W19,
Intelline,"Waterloo,ON,Canada",We make diesel generators that use 40% less fuel.,Y Combinator,W19,
Flockjay,"SanFrancisco,CA,USA",Team-driven learning platform to accelerate your sales career,Y Combinator,W19,
TrexoRobotics,"Toronto,ON,Canada","Wearable robots to help people walk, starting with children with…",Y Combinator,W19,
Fuzzbuzz,"SanFrancisco,CA,USA",Fuzzing as a Service,Y Combinator,W19,
Taobotics,"Shenzhen,Guangdong,China",Autonomous robots for retails. ,Y Combinator,W19,
WoodyLibrary,"Beijing,China",Woody Library is Netflix for physical books in China. ,Y Combinator,W19,
Overview,"SanFrancisco,CA,USA",Computer Vision Platform for Manufacturing,Y Combinator,W19,
Balto,"SanFrancisco,CA,USA",Contest automation software targeting the ,Y Combinator,150Bsportsbettingmarket,
WorkClout,"LosAngeles,CA,USA",Safety & quality software for industrial sectors. ,Y Combinator,W19,
AllureSystems,"NewYork,NY,USA",A.I. to create stunning fashion images for eCommerce. ,Y Combinator,W19,
AXDRAFT,"Kyiv,Ukraine,02000","AXDRAFT helps corporations draft, negotiate and approve documents 10x…",Y Combinator,W19,
Slapdash,"SanFrancisco,CA,USA",Work at the speed of thought,Y Combinator,W19,
Cocoon,"SanFrancisco,CA,USA",Bring your most important groups closer together,Y Combinator,W19,
Doorport,"NewYork,NY,USA",Acquired by Alarm.com - We make existing apartment access smart.,Y Combinator,W19,
Elph,"SanFrancisco,CA,USA",Acquired by Brex. Building digital payments infrastructure.,Y Combinator,W19,
Visly,Unkown,Build React components visually,Y Combinator,W19,
SpiralGenetics,"Seattle,WA,USA",Large Scale Genomic Data Mining Software,Y Combinator,W19,
UnionApartment,"LosAngeles,CA,USA","Furnished Co-living Apartments for International Students, here in…",Y Combinator,W19,
Mage,"Kiel,Germany",The safest way to buy and sell collectibles ,Y Combinator,W19,
Basement,"NewYork,NY,USA",The social network for your close friends.,Y Combinator,W19,
SublimeBlack,Unkown,Automating Cyber Security Incident Response Through Artificial…,Y Combinator,W19,
Pronto,"MexicoCity,CDMX,Mexico",Ride-sharing for second-tier cities in Latin America.,Y Combinator,W19,
Datamode,"Seattle,WA,USA",Datamode (datamode.com) is a tool for engineers to instantly diagnose…,Y Combinator,W19,
Hypnos,"Dallas,TX,USA",A digital sleep journal that helps you get better sleep.,Y Combinator,W19,
Cherry,"SanFrancisco,CA,USA",Cherry lets employees choose their own workplace perks.,Y Combinator,W19,
PerShop,"SanFrancisco,CA,USA",Your personal clothing store!,Y Combinator,W19,
Docucharm,"MountainView,CA,USA",Automate paperwork by turning documents into structured data.,Y Combinator,W19,
Evo.Do,"TelAviv-Yafo,Israel",QA Bots for Games,Y Combinator,W19,
Simmer,"SanFrancisco,CA,USA",We do reviews for dishes. Our app helps users find the very best…,Y Combinator,W19,
AdventurousCo,"SanFrancisco,CA,USA",Disney meets Airbnb Experiences,Y Combinator,W19,
Herald,"Dublin,CA94568,USA",A collaborative repository for user feedback.,Y Combinator,W19,
Unicorn,"Austin,TX,USA",Fixing commuting with electric scooters.,Y Combinator,W19,
GreenEnergyExchange,"Austin,TX,USA",We deliver affordable renewable energy direct to customers and are…,Y Combinator,W19,
Comradery,"SanFrancisco,CA,USA",White-label Bookface for companies and communities!,Y Combinator,W19,
Pengram,"SantaClara,CA,USA",Indoor navigation through augmented reality on your phone. ,Y Combinator,W19,
Vectordash,"SanFrancisco,CA,USA",Play high-end PC games on your laptop by streaming them.,Y Combinator,W19,
VolkWireless,Unkown,NA,Y Combinator,W19,
Allo,"SanFrancisco,CA,USA",Allo is an app that helps neighboring families meet and help each…,Y Combinator,W19,
Momentus,"SantaClara,CA,USA",The space infrastructure services company,Y Combinator,S18,
ModernTreasury,"SanFrancisco,CA,USA",Payment operations tools for money movement.,Y Combinator,S18,
Papa,"Miami,FL,USA",One-stop-shop for flexible family care,Y Combinator,S18,
Titan,"NewYork,NY,USA","Titan is the ""Fidelity for millennials and Gen Z.""",Y Combinator,S18,
Ajaib,"Jakarta,Indonesia",Consumer fintech for Indonesia,Y Combinator,S18,
Khatabook,"Bengaluru,Karnataka,India",Manage your business and personal ledgers on your phone and computer.,Y Combinator,S18,
Duffel,"London,UK","APIs for searching, booking, and managing flights.",Y Combinator,S18,
RevenueCat,"SanFrancisco,CA,USA",Developer tools to easily build in-app purchases and subscriptions.,Y Combinator,S18,
OkCredit,"Bengaluru,Karnataka,India",Simple and secure bookkeeping for Indian businesses.,Y Combinator,S18,
Fintual,"Santiago,SantiagoMetropolitanRegion,Chile",Wealth manager,Y Combinator,S18,
64xBio,"SanFrancisco,CA,USA",High throughput design of cells for therapeutics applications.,Y Combinator,S18,
Culdesac,"Tempe,AZ,USA","We build cities for people, not cars. ",Y Combinator,S18,
ShelfEngine,"Seattle,WA,USA",Transforms how grocery stores buy highly perishable foods.,Y Combinator,S18,
